date,dow,setup,side,lots,entry,stop,target,exit,pnl,net,exit_why,fill_hm,exit_hm
2026-08-26,2,T1-Z1,-1,3,29485.9,29530.15,29450.5,29530.15,-265.5,-270.72,stop,1030,1035
2026-08-27,3,T1-Z1,1,2,29866.9375,29807.4625,29916.5,29916.5,198.25,195.77,target,1030,1105
2026-08-28,4,T1-Z3a,1,1,29948.0,29850.25,30001.75,30001.75,107.5,105.76,target,1025,1035
2026-08-28,4,T2X,1,7,29900.75,29880.55,30042.15,29880.55,-282.8000000000102,-294.9800000000102,stop,1150,1150
2026-08-31,0,T1-Z1,-1,3,29680.85,29721.6,29648.25,29721.6,-244.5,-249.72,stop,1030,1035
2026-09-01,1,T2X,1,2,29445.45,29389.85,29528.85,29389.85,-222.40000000000873,-225.88000000000872,stop,1230,1415
2026-09-02,2,T1-Z1,1,2,29444.0625,29391.0375,29488.25,29488.25,176.75,174.27,target,1045,1125
2026-09-02,2,T2X,1,2,29452.9,29382.2,29541.275,29484.25,125.39999999999418,122.91999999999418,eod,1045,1555
2026-09-03,3,T1-Z1,1,2,29625.5,29572.7,29669.5,29572.7,-211.1999999999971,-214.67999999999708,stop,1030,1040
2026-09-04,4,T1-Z3a,-1,2,29890.0,29951.6875,29848.0,29848.0,168.0,164.52,target,1025,1040
2026-09-09,2,T2R,1,8,29675.85,29658.15,29755.5,29658.15,-283.19999999995343,-297.11999999995345,stop,1120,1120
2026-09-11,4,T1-Z1,1,3,29737.3125,29698.9875,29769.25,29698.9875,-229.95000000000437,-235.17000000000436,stop,1030,1035
2026-09-15,1,T1-Z1,-1,3,29332.35,29369.975,29302.25,29302.25,180.59999999999127,176.87999999999127,target,1030,1035
2026-09-16,2,T2R,-1,13,29504.7,29515.675,29455.3125,29515.675,-285.34999999996217,-307.96999999996217,stop,1100,1105
2026-09-18,4,T1-Z1,-1,3,29728.5,29762.0625,29694.0,29762.0625,-201.375,-206.595,stop,1030,1050
2026-09-18,4,T2R,1,9,29663.75,29648.625,29731.8125,29731.8125,1225.125,1213.965,target,1225,1255
2026-09-22,1,T1-Z1,1,2,30931.4375,30864.1625,30987.5,30987.5,224.25,221.77,target,1040,1350
2026-09-22,1,T2X,1,1,30942.65,30852.95,31077.2,31029.75,174.1999999999971,172.95999999999708,eod,1040,1555
